message,label
Congratulations! You won a free iPhone. Claim now!,spam
Win cash prize by clicking this link,spam
Free recharge available. Click here,spam
Limited offer! Buy one get one free,spam
Urgent! Your account has won a reward,spam
Exclusive deal just for you,spam
Claim your lottery winnings today,spam
You have been selected for a gift voucher,spam
Earn money from home easily,spam
Congratulations! You are our lucky winner,spam
"Hi, are you coming to class today?",ham
Don't forget the meeting at 3 PM,ham
Can you send me the notes?,ham
Happy Birthday! Have a great day,ham
Let's meet for lunch tomorrow,ham
Please submit your assignment by Friday,ham
Where are you now?,ham
Thank you for your help,ham
Call me when you are free,ham
See you in the lab tomorrow,ham
